====================================================================================================
Optimizer       | Alpha  | C     | LR     | Avg MSE         | Avg Time (ms)  
Stochastic GD   | 25.0   | 0.5   | 0.0100 | 32.5732         | 194.36         
Stochastic GD   | 25.0   | 0.5   | 0.0500 | 30.5498         | 194.42         
Stochastic GD   | 25.0   | 0.8   | 0.0010 | 65.6467         | 194.96         
Stochastic GD   | 25.0   | 0.8   | 0.0050 | 58.8444         | 191.90         
Stochastic GD   | 25.0   | 0.8   | 0.0100 | 56.9400         | 194.63         
Stochastic GD   | 25.0   | 0.8   | 0.0500 | 53.1749         | 196.57         
Stochastic GD   | 50.0   | 0.2   | 0.0010 | 81.7943         | 193.34         
Stochastic GD   | 50.0   | 0.2   | 0.0050 | 73.3423         | 191.85         
Stochastic GD   | 50.0   | 0.2   | 0.0100 | 69.0662         | 195.44         
Stochastic GD   | 50.0   | 0.2   | 0.0500 | 60.7655         | 195.54         
Stochastic GD   | 50.0   | 0.5   | 0.0010 | 57.4704         | 194.62         
Stochastic GD   | 50.0   | 0.5   | 0.0050 | 49.7067         | 194.10         
Stochastic GD   | 50.0   | 0.5   | 0.0100 | 47.0980         | 195.51         
Stochastic GD   | 50.0   | 0.5   | 0.0500 | 45.6451         | 192.94         
Stochastic GD   | 50.0   | 0.8   | 0.0010 | 84.6437         | 193.80         
Stochastic GD   | 50.0   | 0.8   | 0.0050 | 79.0319         | 192.29         
Stochastic GD   | 50.0   | 0.8   | 0.0100 | 76.5759         | 196.18         
Stochastic GD   | 50.0   | 0.8   | 0.0500 | 71.2102         | 195.10         
