n,alpha,c,seed,algo,loss,time,lr,iters,mse
10,1.0,0.8,2,gd,0.9611582159996033,0.1120750904083252,0.005,500,0.09611582159996032
10,1.0,0.95,2,gd,0.7777673602104187,0.10197901725769043,0.01,500,0.07777673602104188
10,5.0,0.95,1,gd,0.0007357326103374362,0.19647216796875,0.01,1000,7.357326103374362e-05
10,5.0,0.8,2,gd,0.003235037438571453,0.09502387046813965,0.001,500,0.0003235037438571453
10,10.0,0.2,1,gd,0.002686544321477413,0.21376395225524902,0.01,1000,0.0002686544321477413
10,1.0,0.95,2,gd,0.7777673602104187,0.10907363891601562,0.005,500,0.07777673602104188
10,1.0,0.95,2,gd,0.7777673602104187,0.11156463623046875,0.001,500,0.07777673602104188
10,5.0,0.2,2,gd,0.48257601261138916,0.11026358604431152,0.001,500,0.04825760126113891
10,5.0,0.2,2,gd,0.056057121604681015,0.11138319969177246,0.005,500,0.005605712160468101
10,1.0,0.2,2,gd,0.972409188747406,0.11477112770080566,0.01,500,0.0972409188747406
10,5.0,0.5,2,gd,0.05754463002085686,0.10941529273986816,0.001,500,0.005754463002085685
10,5.0,0.8,2,gd,0.003235037438571453,0.10601425170898438,0.005,500,0.0003235037438571453
10,5.0,0.5,2,gd,0.05754463002085686,0.11286020278930664,0.005,500,0.005754463002085685
10,10.0,0.95,1,gd,5.601957653311729e-08,0.19521737098693848,0.005,1000,5.6019576533117285e-09
10,5.0,0.8,2,gd,0.003235037438571453,0.1126093864440918,0.01,500,0.0003235037438571453
10,5.0,0.95,2,gd,0.0007357326103374362,0.11061906814575195,0.01,500,7.357326103374362e-05
10,10.0,0.5,2,gd,0.00044794255518354475,0.10326600074768066,0.001,500,4.479425551835447e-05
10,5.0,0.2,2,gd,0.024977395310997963,0.11224699020385742,0.01,500,0.002497739531099796
10,5.0,0.95,2,gd,0.0007357326103374362,0.1165924072265625,0.005,500,7.357326103374362e-05
10,10.0,0.95,1,gd,5.601957653311729e-08,0.20813918113708496,0.001,1000,5.6019576533117285e-09
10,5.0,0.5,2,gd,0.05754463002085686,0.12208986282348633,0.01,500,0.005754463002085685
10,10.0,0.2,2,gd,0.08211705833673477,0.11459136009216309,0.001,500,0.008211705833673477
10,10.0,0.2,2,gd,0.005563207436352968,0.1131436824798584,0.01,500,0.0005563207436352968
10,10.0,0.8,1,gd,1.1245971336393268e-06,0.2211308479309082,0.005,1000,1.1245971336393268e-07
